,f,t,x
0,0.0,0.0,0.0
1,0.0002,0.01,0.01
2,0.0008,0.02,0.02
3,0.0018,0.03,0.03
4,0.0032,0.04,0.04
5,0.005000000000000001,0.05,0.05
6,0.0072,0.06,0.06
7,0.009800000000000001,0.07,0.07
8,0.0128,0.08,0.08
9,0.0162,0.09,0.09
10,0.020000000000000004,0.1,0.1
11,0.0242,0.11,0.11
12,0.0288,0.12,0.12
13,0.033800000000000004,0.13,0.13
14,0.039200000000000006,0.14,0.14
15,0.045,0.15,0.15
16,0.0512,0.16,0.16
17,0.05780000000000001,0.17,0.17
18,0.0648,0.18,0.18
19,0.0722,0.19,0.19
20,0.08000000000000002,0.2,0.2
21,0.08819999999999999,0.21,0.21
22,0.0968,0.22,0.22
23,0.1058,0.23,0.23
24,0.1152,0.24,0.24
25,0.125,0.25,0.25
26,0.13520000000000001,0.26,0.26
27,0.1458,0.27,0.27
28,0.15680000000000002,0.28,0.28
29,0.1682,0.29,0.29
30,0.18,0.3,0.3
31,0.1922,0.31,0.31
32,0.2048,0.32,0.32
33,0.21780000000000002,0.33,0.33
34,0.23120000000000004,0.34,0.34
35,0.24500000000000005,0.35000000000000003,0.35000000000000003
36,0.2592,0.36,0.36
37,0.2738,0.37,0.37
38,0.2888,0.38,0.38
39,0.3042,0.39,0.39
40,0.32000000000000006,0.4,0.4
41,0.33620000000000005,0.41000000000000003,0.41000000000000003
42,0.35279999999999995,0.42,0.42
43,0.36979999999999996,0.43,0.43
44,0.3872,0.44,0.44
45,0.405,0.45,0.45
46,0.4232,0.46,0.46
47,0.4418000000000001,0.47000000000000003,0.47000000000000003
48,0.4608,0.48,0.48
49,0.48019999999999996,0.49,0.49
50,0.5,0.5,0.5
51,0.5202,0.51,0.51
52,0.5408000000000001,0.52,0.52
53,0.5618000000000001,0.53,0.53
54,0.5832,0.54,0.54
55,0.6050000000000001,0.55,0.55
56,0.6272000000000001,0.56,0.56
57,0.6498000000000002,0.5700000000000001,0.5700000000000001
58,0.6728,0.58,0.58
59,0.6961999999999999,0.59,0.59
60,0.72,0.6,0.6
61,0.7442,0.61,0.61
62,0.7688,0.62,0.62
63,0.7938000000000001,0.63,0.63
64,0.8192,0.64,0.64
65,0.8450000000000001,0.65,0.65
66,0.8712000000000001,0.66,0.66
67,0.8978000000000002,0.67,0.67
68,0.9248000000000002,0.68,0.68
69,0.9522000000000002,0.6900000000000001,0.6900000000000001
70,0.9800000000000002,0.7000000000000001,0.7000000000000001
71,1.0082,0.71,0.71
72,1.0368,0.72,0.72
73,1.0657999999999999,0.73,0.73
74,1.0952,0.74,0.74
75,1.125,0.75,0.75
76,1.1552,0.76,0.76
77,1.1858,0.77,0.77
78,1.2168,0.78,0.78
79,1.2482000000000002,0.79,0.79
80,1.2800000000000002,0.8,0.8
81,1.3122000000000003,0.81,0.81
82,1.3448000000000002,0.8200000000000001,0.8200000000000001
83,1.3778000000000001,0.8300000000000001,0.8300000000000001
84,1.4111999999999998,0.84,0.84
85,1.4449999999999998,0.85,0.85
86,1.4791999999999998,0.86,0.86
87,1.5138,0.87,0.87
88,1.5488,0.88,0.88
89,1.5842,0.89,0.89
90,1.62,0.9,0.9
91,1.6562000000000001,0.91,0.91
92,1.6928,0.92,0.92
93,1.7298000000000002,0.93,0.93
94,1.7672000000000003,0.9400000000000001,0.9400000000000001
95,1.8050000000000002,0.9500000000000001,0.9500000000000001
96,1.8432,0.96,0.96
97,1.8818,0.97,0.97
98,1.9207999999999998,0.98,0.98
99,1.9602,0.99,0.99
100,2.0,1.0,1.0
101,2.0402,1.01,1.01
102,2.0808,1.02,1.02
103,2.1218,1.03,1.03
104,2.1632000000000002,1.04,1.04
105,2.205,1.05,1.05
106,2.2472000000000003,1.06,1.06
107,2.2898,1.07,1.07
108,2.3328,1.08,1.08
109,2.3762000000000003,1.09,1.09
110,2.4200000000000004,1.1,1.1
111,2.4642000000000004,1.11,1.11
112,2.5088000000000004,1.12,1.12
113,2.5538000000000007,1.1300000000000001,1.1300000000000001
114,2.5992000000000006,1.1400000000000001,1.1400000000000001
115,2.6450000000000005,1.1500000000000001,1.1500000000000001
116,2.6912,1.16,1.16
117,2.7377999999999996,1.17,1.17
118,2.7847999999999997,1.18,1.18
119,2.8322,1.19,1.19
120,2.88,1.2,1.2
121,2.9282,1.21,1.21
122,2.9768,1.22,1.22
123,3.0258,1.23,1.23
124,3.0752,1.24,1.24
125,3.125,1.25,1.25
126,3.1752000000000002,1.26,1.26
127,3.2258,1.27,1.27
128,3.2768,1.28,1.28
129,3.3282000000000003,1.29,1.29
130,3.3800000000000003,1.3,1.3
131,3.4322000000000004,1.31,1.31
132,3.4848000000000003,1.32,1.32
133,3.5378000000000003,1.33,1.33
134,3.5912000000000006,1.34,1.34
135,3.6450000000000005,1.35,1.35
136,3.6992000000000007,1.36,1.36
137,3.7538000000000005,1.37,1.37
138,3.8088000000000006,1.3800000000000001,1.3800000000000001
139,3.8642000000000007,1.3900000000000001,1.3900000000000001
140,3.920000000000001,1.4000000000000001,1.4000000000000001
141,3.9761999999999995,1.41,1.41
142,4.0328,1.42,1.42
143,4.089799999999999,1.43,1.43
144,4.1472,1.44,1.44
145,4.205,1.45,1.45
146,4.263199999999999,1.46,1.46
147,4.3218,1.47,1.47
148,4.3808,1.48,1.48
149,4.4402,1.49,1.49
150,4.5,1.5,1.5
151,4.5602,1.51,1.51
152,4.6208,1.52,1.52
153,4.6818,1.53,1.53
154,4.7432,1.54,1.54
155,4.805000000000001,1.55,1.55
156,4.8672,1.56,1.56
157,4.9298,1.57,1.57
158,4.992800000000001,1.58,1.58
159,5.0562000000000005,1.59,1.59
160,5.120000000000001,1.6,1.6
161,5.184200000000001,1.61,1.61
162,5.248800000000001,1.62,1.62
163,5.3138000000000005,1.6300000000000001,1.6300000000000001
164,5.379200000000001,1.6400000000000001,1.6400000000000001
165,5.445000000000001,1.6500000000000001,1.6500000000000001
166,5.5112000000000005,1.6600000000000001,1.6600000000000001
167,5.5778,1.67,1.67
168,5.644799999999999,1.68,1.68
169,5.712199999999999,1.69,1.69
170,5.779999999999999,1.7,1.7
171,5.848199999999999,1.71,1.71
172,5.916799999999999,1.72,1.72
173,5.9858,1.73,1.73
174,6.0552,1.74,1.74
175,6.125,1.75,1.75
176,6.1952,1.76,1.76
177,6.2658000000000005,1.77,1.77
178,6.3368,1.78,1.78
179,6.4082,1.79,1.79
180,6.48,1.8,1.8
181,6.5522,1.81,1.81
182,6.6248000000000005,1.82,1.82
183,6.697800000000001,1.83,1.83
184,6.7712,1.84,1.84
185,6.845000000000001,1.85,1.85
186,6.919200000000001,1.86,1.86
187,6.993800000000001,1.87,1.87
188,7.068800000000001,1.8800000000000001,1.8800000000000001
189,7.1442000000000005,1.8900000000000001,1.8900000000000001
190,7.220000000000001,1.9000000000000001,1.9000000000000001
191,7.296200000000001,1.9100000000000001,1.9100000000000001
192,7.3728,1.92,1.92
193,7.4498,1.93,1.93
