x,y,z
-0.98519202,0.131646681,-4.88E-06
-0.98643377,0.123079924,-4.37E-06
-0.987601229,0.114503898,-3.87E-06
-0.988694337,0.105919252,-3.37E-06
-0.989713044,0.097326634,-2.86E-06
-0.990657302,0.088726696,-2.36E-06
-0.991527072,0.080120086,-1.85E-06
-0.992322318,0.071507455,-1.35E-06
-0.993043011,0.062889451,-8.43E-07
-0.993689129,0.054266724,-3.38E-07
-0.994260653,0.045639923,1.67E-07
-0.994757571,0.037009698,6.72E-07
-0.995179878,0.028376697,1.18E-06
-0.995527573,0.019741569,1.68E-06
-0.99580066,0.011104961,2.19E-06
-0.995999152,0.002467521,2.69E-06
-0.996123064,-0.006170104,3.19E-06
-0.996172418,-0.014807267,3.70E-06
-0.996147243,-0.023443322,4.20E-06
-0.996047571,-0.032077624,4.71E-06
-0.995873442,-0.040709528,5.21E-06
-0.995624901,-0.04933839,5.71E-06
-0.995301997,-0.057963567,6.21E-06
-0.994904787,-0.066584416,6.72E-06
-0.994433331,-0.075200297,7.22E-06
-0.993887698,-0.083810568,7.72E-06
-0.993267959,-0.092414591,8.22E-06
-0.992574192,-0.101011725,8.72E-06
-0.99180648,-0.109601335,9.22E-06
-0.990964914,-0.118182783,9.72E-06
-0.990049586,-0.126755434,1.02E-05
-0.989060598,-0.135318655,1.07E-05
-0.987998054,-0.143871812,1.12E-05
-0.986862066,-0.152414274,1.17E-05
-0.985652749,-0.160945411,1.22E-05
-0.984370225,-0.169464594,1.27E-05
-0.983014621,-0.177971196,1.32E-05
-0.981586069,-0.186464591,1.37E-05
-0.980084707,-0.194944155,1.42E-05
-0.978510678,-0.203409265,1.47E-05
-0.97686413,-0.2118593,1.51E-05
-0.975145216,-0.22029364,1.56E-05
-0.973354095,-0.228711669,1.61E-05
-0.971490932,-0.237112769,1.66E-05
-0.969555895,-0.245496327,1.71E-05
-0.967549158,-0.25386173,1.76E-05
-0.965470902,-0.262208369,1.80E-05
-0.96332131,-0.270535633,1.85E-05
-0.961100573,-0.278842918,1.90E-05
-0.958808886,-0.287129617,1.95E-05
-0.956446448,-0.29539513,2.00E-05
-0.954013464,-0.303638854,2.04E-05
-0.951510145,-0.311860193,2.09E-05
-0.948936705,-0.320058549,2.14E-05
-0.946293364,-0.328233329,2.18E-05
-0.943580348,-0.336383941,2.23E-05
-0.940797886,-0.344509796,2.28E-05
-0.937946213,-0.352610307,2.32E-05
-0.935025568,-0.360684888,2.37E-05
-0.932036196,-0.368732958,2.42E-05
-0.928978346,-0.376753937,2.46E-05
-0.925852273,-0.384747248,2.51E-05
-0.922658235,-0.392712315,2.55E-05
-0.919396496,-0.400648566,2.60E-05
-0.916067324,-0.408555431,2.64E-05
-0.912670992,-0.416432344,2.69E-05
-0.909207778,-0.424278741,2.73E-05
-0.905677964,-0.432094058,2.78E-05
-0.902081836,-0.439877738,2.82E-05
-0.898419688,-0.447629224,2.87E-05
-0.894691813,-0.455347963,2.91E-05
-0.890898513,-0.463033404,2.96E-05
-0.887040094,-0.470685,3.00E-05
-0.883116863,-0.478302206,3.04E-05
-0.879129136,-0.48588448,3.09E-05
-0.875077231,-0.493431283,3.13E-05
-0.870961469,-0.50094208,3.17E-05
-0.866782179,-0.508416337,3.21E-05
-0.862539691,-0.515853526,3.26E-05
-0.858234342,-0.523253119,3.30E-05
-0.85386647,-0.530614593,3.34E-05
-0.84943642,-0.537937428,3.38E-05
-0.84494454,-0.545221107,3.42E-05
-0.840391182,-0.552465117,3.46E-05
-0.835776704,-0.559668945,3.50E-05
-0.831101465,-0.566832086,3.54E-05
-0.82636583,-0.573954036,3.58E-05
-0.821570167,-0.581034294,3.62E-05
-0.81671485,-0.588072362,3.66E-05
-0.811800256,-0.595067747,3.70E-05
-0.806826763,-0.60201996,3.74E-05
-0.801794758,-0.608928512,3.78E-05
-0.796704628,-0.615792921,3.82E-05
-0.791556765,-0.622612707,3.86E-05
-0.786351565,-0.629387394,3.90E-05
-0.781089428,-0.636116509,3.93E-05
-0.775770758,-0.642799583,3.97E-05
-0.77039596,-0.64943615,4.01E-05
-0.764965447,-0.65602575,4.05E-05
-0.759479632,-0.662567924,4.08E-05
-0.753938934,-0.669062217,4.12E-05
-0.748343774,-0.67550818,4.15E-05
-0.742694576,-0.681905365,4.19E-05
-0.73699177,-0.688253329,4.23E-05
-0.731235788,-0.694551633,4.26E-05
-0.725427064,-0.700799843,4.30E-05
-0.719566038,-0.706997525,4.33E-05
-0.713653152,-0.713144253,4.36E-05
-0.707688851,-0.719239603,4.40E-05
-0.701673585,-0.725283155,4.43E-05
-0.695607804,-0.731274494,4.46E-05
-0.689491964,-0.737213207,4.50E-05
-0.683326524,-0.743098886,4.53E-05
-0.677111945,-0.748931129,4.56E-05
-0.670848692,-0.754709534,4.59E-05
-0.664537232,-0.760433707,4.63E-05
-0.658178037,-0.766103255,4.66E-05
-0.651771579,-0.771717791,4.69E-05
-0.645318336,-0.777276932,4.72E-05
-0.638818786,-0.782780298,4.75E-05
-0.632273414,-0.788227514,4.78E-05
-0.625682703,-0.793618209,4.81E-05
-0.619047143,-0.798952016,4.84E-05
-0.612367223,-0.804228573,4.87E-05
-0.605643439,-0.809447522,4.90E-05
-0.598876286,-0.814608508,4.92E-05
-0.592066263,-0.819711181,4.95E-05
-0.585213872,-0.824755196,4.98E-05
-0.578319617,-0.829740212,5.01E-05
-0.571384006,-0.834665891,5.03E-05
-0.564407548,-0.839531902,5.06E-05
-0.557390754,-0.844337915,5.09E-05
-0.550334139,-0.849083607,5.11E-05
-0.54323822,-0.853768659,5.14E-05
-0.536103515,-0.858392755,5.16E-05
-0.528930547,-0.862955585,5.19E-05
-0.52171984,-0.867456842,5.21E-05
