,t,x
0,0.0,1.0
1,0.01,0.9992001066609779
2,0.02,0.9968017063026194
3,0.03,0.9928086358538663
4,0.04,0.9872272833756269
5,0.05,0.9800665778412416
6,0.06,0.9713379748520297
7,0.07,0.9610554383107709
8,0.08,0.9492354180824408
9,0.09,0.9358968236779348
10,0.1,0.9210609940028851
11,0.11,0.9047516632199634
12,0.12,0.8869949227792842
13,0.13,0.8678191796776499
14,0.14,0.8472551110134161
15,0.15,0.8253356149096783
16,0.16,0.8020957578842927
17,0.17,0.7775727187509279
18,0.18,0.751805729140895
19,0.19,0.7248360107409052
20,0.2,0.6967067093471654
21,0.21,0.6674628258413081
22,0.22,0.6371511441985802
23,0.23,0.6058201566434628
24,0.24,0.5735199860724567
25,0.25,0.5403023058681398
26,0.26,0.5062202572327784
27,0.27,0.47132836417373997
28,0.28,0.4356824462767121
29,0.29,0.3993395294062732
30,0.3,0.3623577544766736
31,0.31,0.32479628443877623
32,0.32,0.2867152096319555
33,0.33,0.2481754516523729
34,0.34,0.20923866589141926
35,0.35000000000000003,0.16996714290024081
36,0.36,0.13042370873814554
37,0.37,0.09067162446430968
38,0.38,0.05077448493357918
39,0.39,0.010796117058267392
40,0.4,-0.029199522301288815
41,0.41000000000000003,-0.06914844865406217
42,0.42,-0.10898675223987112
43,0.43,-0.14865070027136365
44,0.44,-0.1880768388928801
45,0.45,-0.2272020946930871
46,0.46,-0.2659638756089804
47,0.47000000000000003,-0.3043001710598334
48,0.48,-0.3421496511508982
49,0.49,-0.3794517647881545
50,0.5,-0.4161468365471424
51,0.51,-0.45217616214091194
52,0.52,-0.4874821023343594
53,0.53,-0.5220081751547073
54,0.54,-0.5556991462506127
55,0.55,-0.5885011172553458
56,0.56,-0.6203616120126798
57,0.5700000000000001,-0.6512296605275459
58,0.58,-0.6810558805071525
59,0.59,-0.7097925563621205
60,0.6,-0.7373937155412454
61,0.61,-0.7638152020777741
62,0.62,-0.7890147472295311
63,0.63,-0.81295203709989
64,0.64,-0.8355887771314077
65,0.65,-0.8568887533689473
66,0.66,-0.8768178903942815
67,0.67,-0.8953443058394921
68,0.68,-0.912438361391958
69,0.6900000000000001,-0.9280727102093327
70,0.7000000000000001,-0.9422223406686583
71,0.71,-0.9548646163796264
72,0.72,-0.9659793123979747
73,0.73,-0.9755486475810826
74,0.74,-0.9835573130340064
75,0.75,-0.9899924966004454
76,0.76,-0.9948439033594595
77,0.77,-0.9981037720951457
78,0.78,-0.9997668877129283
79,0.79,-0.9998305895825983
80,0.8,-0.9982947757947531
81,0.81,-0.9951619033238304
82,0.8200000000000001,-0.990436984097473
83,0.8300000000000001,-0.9841275769785145
84,0.84,-0.9762437756724099
85,0.85,-0.9667981925794611
86,0.86,-0.9558059386176664
87,0.87,-0.9432845990484758
88,0.88,-0.9292542053441233
89,0.89,-0.9137372031415447
90,0.9,-0.896758416334147
91,0.91,-0.878345007358874
92,0.92,-0.8585264337421017
93,0.93,-0.83733440097388
94,0.9400000000000001,-0.8148028117859123
95,0.9500000000000001,-0.7909677119144165
96,0.96,-0.7658672324346374
