,t,x
0,0.0,-16.0
1,0.01,-15.987201706575647
2,0.02,-15.948827300841911
3,0.03,-15.88493817366186
4,0.04,-15.79563653401003
5,0.05,-15.681065245459866
6,0.06,-15.541407597632475
7,0.07,-15.376887012972334
8,0.08,-15.187766689319053
9,0.09,-14.974349178846957
10,0.1,-14.736975904046162
11,0.11,-14.476026611519414
12,0.12,-14.191918764468546
13,0.13,-13.885106874842398
14,0.14,-13.556081776214658
15,0.15,-13.205369838554853
16,0.16,-12.833532126148683
17,0.17,-12.441163500014847
18,0.18,-12.02889166625432
19,0.19,-11.597376171854483
20,0.2,-11.147307349554646
21,0.21,-10.67940521346093
22,0.22,-10.194418307177283
23,0.23,-9.693122506295405
24,0.24,-9.176319777159307
25,0.25,-8.644836893890236
26,0.26,-8.099524115724455
27,0.27,-7.5412538267798395
28,0.28,-6.970919140427394
29,0.29,-6.389432470500371
30,0.3,-5.797724071626778
31,0.31,-5.19674055102042
32,0.32,-4.587443354111288
33,0.33,-3.9708072264379664
34,0.34,-3.347818654262708
35,0.35000000000000003,-2.719474286403853
36,0.36,-2.0867793398103287
37,0.37,-1.4507459914289549
38,0.38,-0.8123917589372669
39,0.39,-0.17273787293227827
40,0.4,0.46719235682062105
41,0.41000000000000003,1.1063751784649947
42,0.42,1.7437880358379378
43,0.43,2.3784112043418184
44,0.44,3.0092294222860816
45,0.45,3.6352335150893937
46,0.46,4.255422009743686
47,0.47000000000000003,4.868802736957335
48,0.48,5.474394418414371
49,0.49,6.071228236610472
50,0.5,6.6583493847542785
51,0.51,7.234818594254591
52,0.52,7.79971363734975
53,0.53,8.352130802475317
54,0.54,8.891186340009803
55,0.55,9.416017876085533
56,0.56,9.925785792202877
57,0.5700000000000001,10.419674568440735
58,0.58,10.89689408811444
59,0.59,11.356680901793927
60,0.6,11.798299448659927
61,0.61,12.221043233244385
62,0.62,12.624235955672498
63,0.63,13.00723259359824
64,0.64,13.369420434102523
65,0.65,13.710220053903157
66,0.66,14.029086246308504
67,0.67,14.325508893431874
68,0.68,14.599013782271328
69,0.6900000000000001,14.849163363349323
70,0.7000000000000001,15.075557450698533
71,0.71,15.277833862074022
72,0.72,15.455668998367596
73,0.73,15.608778361297322
74,0.74,15.736917008544102
75,0.75,15.839879945607127
76,0.76,15.917502453751352
77,0.77,15.96966035352233
78,0.78,15.996270203406853
79,0.79,15.997289433321573
80,0.8,15.97271641271605
81,0.81,15.922590453181286
82,0.8200000000000001,15.846991745559569
83,0.8300000000000001,15.746041231656232
84,0.84,15.619900410758559
85,0.85,15.468771081271377
86,0.86,15.292895017882662
87,0.87,15.092553584775613
88,0.88,14.868067285505973
89,0.89,14.619795250264715
90,0.9,14.348134661346352
91,0.91,14.053520117741984
92,0.92,13.736422939873627
93,0.93,13.39735041558208
94,0.9400000000000001,13.036844988574597
95,0.9500000000000001,12.655483390630664
96,0.96,12.253875718954198
97,0.97,11.832664460148136
98,0.98,11.392523462372962
99,0.99,10.93415685733338
100,1.0,10.458297933817791
101,1.01,9.965707964592664
102,1.02,9.457174988528502
103,1.03,8.93351254990576
104,1.04,8.395558396917542
105,1.05,7.844173141451191
106,1.06,7.280238882292875
107,1.07,6.704657793957689
108,1.08,6.118350683402884
109,1.09,5.5222555169331695
110,1.1,4.91732591965471
111,1.11,4.3045296498783845
112,1.12,3.6848470509129387
113,1.1300000000000001,3.059269482724812
114,1.1400000000000001,2.428797735973675
115,1.1500000000000001,1.7944404309608637
116,1.16,1.1572124040520717
117,1.17,0.5181330841555957
118,1.18,-0.12177513814636644
119,1.19,-0.761488546204605
120,1.2,-1.3999837350311424
121,1.21,-2.0362392485288985
122,1.22,-2.669237213603547
123,1.23,-3.2979649685433334
124,1.24,-3.921416683061788
125,1.25,-4.53859496741162
126,1.26,-5.148512467995549
127,1.27,-5.750193446921435
128,1.28,-6.3426753429747595
