,t,x
0,0.0,-0.0
1,0.01,-0.009900498337491681
2,0.02,-0.019603973466135106
3,0.03,-0.029113366006455244
4,0.04,-0.03843157756609293
5,0.05,-0.047561471225035706
6,0.06,-0.05650587201505492
7,0.07,-0.06526756739341638
8,0.08,-0.07384930771093086
9,0.09,-0.08225380667441054
10,0.1,-0.09048374180359596
11,0.11,-0.0985417548826181
12,0.12,-0.10643045240605889
13,0.13,-0.11415240601967297
14,0.14,-0.12171015295583283
15,0.15,-0.12910619646375868
16,0.16,-0.1363430062345938
17,0.17,-0.14342301882138525
18,0.18,-0.15034863805402895
19,0.19,-0.15712223544923884
20,0.2,-0.1637461506155964
21,0.21,-0.17022269165373927
22,0.22,-0.17655413555174526
23,0.23,-0.18274272857576684
24,0.24,-0.18879068665597282
25,0.25,-0.19470019576785122
26,0.26,-0.20047341230892723
27,0.27,-0.20611246347095036
28,0.28,-0.21161944760760315
29,0.29,-0.21699643459778392
30,0.3,-0.22224546620451535
31,0.31,-0.22736855642952966
32,0.32,-0.2323676918635811
33,0.33,-0.23724483203253566
34,0.34,-0.2420019097392873
35,0.35000000000000003,-0.24664083140154971
36,0.36,-0.25116347738557115
37,0.37,-0.2555717023358212
38,0.38,-0.25986733550069524
39,0.39,-0.26405218105428424
40,0.4,-0.26812801841425576
41,0.41000000000000003,-0.27209660255589097
42,0.42,-0.2759596643223238
43,0.43,-0.2797189107310261
44,0.44,-0.28337602527658223
45,0.45,-0.286932668229798
46,0.46,-0.2903904769331859
47,0.47000000000000003,-0.2937510660928694
48,0.48,-0.2970160280669476
49,0.49,-0.3001869331503639
50,0.5,-0.3032653298563167
51,0.51,-0.3062527451942556
52,0.52,-0.3091506849445011
53,0.53,-0.3119606339295283
54,0.54,-0.31468405628195445
55,0.55,-0.3173223957092677
56,0.56,-0.31987707575533636
57,0.5700000000000001,-0.3223495000587362
58,0.58,-0.3247410526079332
59,0.59,-0.3270530979933592
60,0.6,-0.32928698165641584
61,0.61,-0.3314440301354449
62,0.62,-0.33352555130869815
63,0.63,-0.33553283463434525
64,0.64,-0.33746715138755107
65,0.65,-0.33932975489466044
66,0.66,-0.3411218807645215
67,0.67,-0.34284474711698343
68,0.68,-0.3444995548086009
69,0.6900000000000001,-0.3460874876555783
70,0.7000000000000001,-0.34760971265398666
71,0.71,-0.3490673801972852
72,0.72,-0.3504616242911796
73,0.73,-0.3517935627658478
74,0.74,-0.35306429748556545
75,0.75,-0.354274914555761
76,0.76,-0.355426484527531
77,0.77,-0.35652006259964564
78,0.78,-0.35755668881807434
79,0.79,-0.35853738827306114
80,0.8,-0.35946317129377725
81,0.81,-0.36033503364058234
82,0.8200000000000001,-0.3611539566949194
83,0.8300000000000001,-0.36192090764687457
84,0.84,-0.362636839680427
85,0.85,-0.3633026921564177
86,0.86,-0.36391939079326396
87,0.87,-0.3644878478454459
88,0.88,-0.3650089622797916
89,0.89,-0.3654836199495875
90,0.9,-0.36591269376653923
91,0.91,-0.36629704387060874
92,0.92,-0.366637517797753
93,0.93,-0.366934950645589
94,0.9400000000000001,-0.3671901652370098
95,0.9500000000000001,-0.3674039722817761
96,0.96,-0.36757717053610756
97,0.97,-0.36771054696029687
98,0.98,-0.3678048768743716
99,0.99,-0.36786092411182525
100,1.0,-0.36787944117144233
101,1.01,-0.36786116936723856
102,1.02,-0.3678068389765399
103,1.03,-0.3677171693862218
104,1.04,-0.36759286923713136
105,1.05,-0.3674346365667131
106,1.06,-0.36724315894986087
107,1.07,-0.36701911363801615
108,1.08,-0.3667631676965343
109,1.09,-0.3664759781403394
110,1.1,-0.3661581920678875
111,1.11,-0.36581044679345986
112,1.12,-0.36543336997780423
113,1.1300000000000001,-0.3650275797571458
114,1.1400000000000001,-0.3645936848705864
115,1.1500000000000001,-0.3641322847859112
116,1.16,-0.36364396982382213
117,1.17,-0.3631293212806175
118,1.18,-0.36258891154933487
119,1.19,-0.36202330423937784
120,1.2,-0.36143305429464256
121,1.21,-0.3608187081101637
122,1.22,-0.3601808036472973
123,1.23,-0.3595198705474571
124,1.24,-0.35883643024442274
125,1.25,-0.35813099607523763
126,1.26,-0.3574040733897107
127,1.27,-0.3566561596585423
128,1.28,-0.3558877445800885
129,1.29,-0.3550993101857805
130,1.3,-0.3542913309442164
131,1.31,-0.35346427386393975
132,1.32,-0.35261859859492245
133,1.33,-0.3517547575287659
134,1.34,-0.3508731958976368
135,1.35,-0.3499743518719536
136,1.36,-0.349058656656836
137,1.37,-0.3481265345873364
138,1.3800000000000001,-0.34717840322246396
139,1.3900000000000001,-0.34621467343801876
140,1.4000000000000001,-0.34523574951824904
141,1.41,-0.34424202924634634
142,1.42,-0.3432339039937917
143,1.43,-0.34221175880856897
144,1.44,-0.34117597250225534
145,1.45,-0.34012691773600656
146,1.46,-0.33906496110544787
147,1.47,-0.33799046322448406
148,1.48,-0.33690377880804284
149,1.49,-0.3358052567537637
150,1.5,-0.33469524022264474
151,1.51,-0.3335740667186611
152,1.52,-0.33244206816736643
153,1.53,-0.33129957099349083
154,1.54,-0.33014689619754606
155,1.55,-0.3289843594314517
156,1.56,-0.327812271073193
157,1.57,-0.32663093630052215
158,1.58,-0.32544065516371584
159,1.59,-0.32424172265739937
160,1.6,-0.3230344287914486
161,1.61,-0.32181905866098265
162,1.62,-0.3205958925154558
163,1.6300000000000001,-0.31936520582686223
164,1.6400000000000001,-0.3181272693570627
165,1.6500000000000001,-0.31688234922424424
166,1.6600000000000001,-0.3156307069685241
167,1.67,-0.31437259961670716
168,1.68,-0.31310827974620875
169,1.69,-0.31183799554815184
170,1.7,-0.3105619908896489
171,1.71,-0.3092805053752788
172,1.72,-0.3079937744077683
173,1.73,-0.30670202924788864
174,1.74,-0.30540549707357456
175,1.75,-0.304104401038279
176,1.76,-0.30279896032856896
177,1.77,-0.3014893902209747
178,1.78,-0.30017590213809997
179,1.79,-0.29885870370400286
180,1.8,-0.2975379987988558
181,1.81,-0.29621398761289436
182,1.82,-0.29488686669966296
183,1.83,-0.2935568290285661
184,1.84,-0.29222406403673407
185,1.85,-0.2908887576802111
186,1.86,-0.289551092484475
187,1.87,-0.2882112475942957
188,1.8800000000000001,-0.28686939882294166
189,1.8900000000000001,-0.2855257187007409
190,1.9000000000000001,-0.2841803765230066
191,1.9100000000000001,-0.2828335383973333
192,1.92,-0.2814853672902723
193,1.93,-0.2801360230733938
194,1.94,-0.27878566256874365
195,1.95,-0.2774344395937015
196,1.96,-0.2760825050052482
197,1.97,-0.27473000674365033
198,1.98,-0.2733770898755678
199,1.99,-0.27202389663659243
200,2.0,-0.2706705664732254
201,2.0100000000000002,-0.2693172360842979
202,2.02,-0.2679640394618459
