,t,vx,vy
0,0,3.4256319385863995e-09,1.990842245989305e-07
1,86400,6.851771032357515e-09,1.9902527455400697e-07
2,172800,1.0277402734304159e-08,1.989073395398445e-07
3,259200,1.370151084390574e-08,1.987304020924788e-07
4,345600,1.7123077807056984e-08,1.9849446227561892e-07
5,432000,2.0541085018538794e-08,1.9819953774286995e-07
6,518400,2.3954513126950382e-08,1.978456637947644e-07
7,604800,2.736234234201656e-08,1.9743289343051053e-07
8,691200,3.076355274418071e-08,1.969612973943678e-07
9,777600,3.415712459639069e-08,1.9643096421656033e-07
10,864000,3.754203865798177e-08,1.9584200024864148e-07
11,950400,4.0917276500557194e-08,1.9519452969322337e-07
12,1036800,4.428182082576402e-08,1.9448869462798754e-07
13,1123200,4.7634655784858276e-08,1.9372465502389455e-07
14,1209600,5.0974767299950785e-08,1.9290258875751184e-07
15,1296000,5.430114338682122e-08,1.920226916173818e-07
16,1382400,5.7612774479185334e-08,1.9108517730435408e-07
17,1468800,6.090865375429689e-08,1.9009027742580804e-07
18,1555200,6.418777745976288e-08,1.890382414836939e-07
19,1641600,6.744914524144768e-08,1.8792933685632394e-07
20,1728000,7.069176047233845e-08,1.8676384877384736e-07
21,1814400,7.39146305822417e-08,1.8554208028734527e-07
22,1900800,7.711676738817784e-08,1.842643522314854e-07
23,1987200,8.029718742533753e-08,1.8293100318067866e-07
24,2073600,8.345491227846138e-08,1.8154238939868338e-07
25,2160000,8.65889689135016e-08,1.8009888478160567e-07
26,2246400,8.969839000942173e-08,1.786008807942484e-07
27,2332800,9.278221428998804e-08,1.770487863997638e-07
28,2419200,9.583948685540402e-08,1.7544302798256937e-07
29,2505600,9.886925951363679e-08,1.7378404926448938e-07
30,2592000,1.0187059111128231e-07,1.720723112140889e-07
31,2678400,1.0484254786381396e-07,1.7030829194917045e-07
32,2764800,1.077842036850574e-07,1.684924866324078e-07
33,2851200,1.1069464051573225e-07,1.666254073600956e-07
34,2937600,1.135729486509e-07,1.6470758304399668e-07
35,3024000,1.1641822706615524e-07,1.6273955928627496e-07
36,3110400,1.1922958374239636e-07,1.6072189824750411e-07
37,3196800,1.220061359890103e-07,1.5865517850774823e-07
38,3283200,1.2474701076530428e-07,1.5653999492071415e-07
39,3369600,1.2745134500001697e-07,1.5437695846098028e-07
40,3456000,1.3011828590874036e-07,1.5216669606431116e-07
41,3542400,1.3274699130908217e-07,1.4990985046107146e-07
42,3628800,1.3533662993339901e-07,1.4760708000275847e-07
43,3715200,1.3788638173892886e-07,1.452590584816759e-07
44,3801600,1.40395438215152e-07,1.4286647494377822e-07
45,3888000,1.428630026882085e-07,1.4043003349471797e-07
46,3974400,1.4528829062220083e-07,1.379504530991345e-07
47,4060800,1.4767052991720982e-07,1.354284673732273e-07
48,4147200,1.5000896120385298e-07,1.3286482437066182e-07
49,4233600,1.5230283813421367e-07,1.302602863618611e-07
50,4320000,1.5455142766897146e-07,1.2761562960674132e-07
51,4406400,1.5675401036056336e-07,1.2493164412095408e-07
52,4492800,1.5890988063220758e-07,1.2220913343570434e-07
53,4579200,1.6101834705262206e-07,1.1944891435121655e-07
54,4665600,1.63078732606271e-07,1.1665181668392774e-07
55,4752000,1.6509037495897495e-07,1.1381868300749073e-07
56,4838400,1.6705262671872006e-07,1.109503683876757e-07
57,4924800,1.6896485569150593e-07,1.0804774011126351e-07
58,5011200,1.7082644513207107e-07,1.0511167740902889e-07
59,5097600,1.7263679398933893e-07,1.0214307117291674e-07
60,5184000,1.7439531714642874e-07,9.914282366751932e-08
61,5270400,1.7610144565507818e-07,9.61118482359672e-08
62,5356800,1.7775462696432733e-07,9.305106900035156e-08
63,5443200,1.7935432514331606e-07,8.996142055679968e-08
64,5529600,1.809000210980504e-07,8.684384766533081e-08
65,5616000,1.8239121278199539e-07,8.36993049346233e-08
66,5702400,1.83827415400357e-07,8.052875650182916e-08
67,5788800,1.8520816160791669e-07,7.73331757075756e-08
68,5875200,1.8653300170028817e-07,7.411354476629833e-08
69,5961600,1.878015037984678e-07,7.087085443205494e-08
70,6048000,1.8901325402655474e-07,6.760610365997066e-08
71,6134400,1.9016785668252082e-07,6.432029926347343e-08
72,6220800,1.9126493440191423e-07,6.101445556747789e-08
73,6307200,1.9230412831438527e-07,5.7689594057682856e-08
74,6393600,1.9328509819292693e-07,5.4346743026149235e-08
75,6480000,1.942075225957275e-07,5.0986937213329624e-08
76,6566400,1.9507109900053715e-07,4.7611217446723524e-08
77,6652800,1.95875543931455e-07,4.4220630276335636e-08
78,6739200,1.9662059307804845e-07,4.0816227607117366e-08
79,6825600,1.9730600140672072e-07,3.739906632857469e-08
80,6912000,1.9793154326424907e-07,3.3970207941728136e-08
81,6998400,1.9849701247341944e-07,3.0530718183613125e-08
82,7084800,1.9900222242069017e-07,2.7081666649511246e-08
83,7171200,1.9944700613582212e-07,2.362412641310522e-08
84,7257600,1.998312163634176e-07,2.0159173644752272e-08
85,7344000,2.0015472562631672e-07,1.6687887228072522e-08
86,7430400,2.0041742628080508e-07,1.3211348375050506e-08
87,7516800,2.0061923056359179e-07,9.730640239849458e-09
88,7603200,2.007600706305236e-07,6.246847531539375e-09
89,7689600,2.008398985870054e-07,2.7610561259406698e-09
90,7776000,2.0085868651010403e-07,-7.256473232135667e-10
91,7862400,2.0081642646231773e-07,-4.21217577359319e-09
92,7948800,2.007131304969994e-07,-7.697442183860386e-09
93,8035200,2.0054883065542742e-07,-1.1180359903328421e-08
94,8121600,2.0032357895552455e-07,-1.465984306148519e-08
95,8208000,2.0003744737222973e-07,-1.8134806957177096e-08
96,8294400,1.9969052780953481e-07,-2.1604168447249003e-08
97,8380800,1.9928293206420368e-07,-2.506684633443652e-08
98,8467200,1.9881479178119618e-07,-2.8521761754307392e-08
99,8553600,1.9828625840082657e-07,-3.196783856104977e-08
100,8640000,1.976975030976904e-07,-3.5404003711905955e-08
101,8726400,1.9704871671140077e-07,-3.882918765005156e-08
102,8812800,1.9634010966917932e-07,-4.224232468572137e-08
103,8899200,1.9557191190035406e-07,-4.564235337538476e-08
104,8985600,1.947443727428208e-07,-4.902821689877521e-08
105,9072000,1.9385776084153085e-07,-5.239886343358051e-08
106,9158400,1.9291236403907278e-07,-5.5753246527602386e-08
107,9244800,1.9190848925842205e-07,-5.9090325468196253e-08
108,9331200,1.9084646237793628e-07,-6.240906564880464e-08
109,9417600,1.8972662809868028e-07,-6.570843893240034e-08
110,9504000,1.8854934980416937e-07,-6.898742401165771e-08
111,9590400,1.873150094126246e-07,-7.224500676567439e-08
112,9676800,1.860240072218383e-07,-7.54801806130676e-08
113,9763200,1.846767617467531e-07,-7.869194686127351e-08
114,9849600,1.8327370954986203e-07,-8.187931505188096e-08
115,9936000,1.8181530506454218e-07,-8.504130330183437e-08
116,10022400,1.803020204114381e-07,-8.817693864034457e-08
117,10108800,1.7873434520801583e-07,-9.128525734134984e-08
118,10195200,1.7711278637141238e-07,-9.436530525137342e-08
119,10281600,1.7543786791470922e-07,-9.741613811262805e-08
120,10368000,1.7371013073676234e-07,-1.0043682188122153e-07
121,10454400,1.719301324057251e-07,-1.034264330403225e-07
122,10540800,1.700984469364031e-07,-1.0638405890814917e-07
123,10627200,1.6821566456158422e-07,-1.0930879794064858e-07
124,10713600,1.6628239149748976e-07,-1.1219976002873847e-07
125,10800000,1.6429924970349592e-07,-1.1505606678998824e-07
126,10886400,1.62266876636277e-07,-1.1787685185462056e-07
127,10972800,1.601859249985253e-07,-1.206612611457194e-07
128,11059200,1.5805706248240465e-07,-1.2340845315353578e-07
129,11145600,1.5588097150789662e-07,-1.2611759920378648e-07
130,11232000,1.536583489562013e-07,-1.2878788371984714e-07
131,11318400,1.5138990589835606e-07,-1.3141850447874463e-07
132,11404800,1.490763673192372e-07,-1.3400867286085999e-07
133,11491200,1.4671847183711228e-07,-1.3655761409325745e-07
134,11577600,1.4431697141891058e-07,-1.3906456748656031e-07
135,11664000,1.4187263109138226e-07,-1.4152878666529963e-07
136,11750400,1.3938622864831648e-07,-1.4394953979166654e-07
137,11836800,1.3685855435399086e-07,-1.463261097826045e-07
138,11923200,1.3429041064302424e-07,-1.4865779452018263e-07
139,12009600,1.3168261181680665e-07,-1.5094390705519617e-07
140,12096000,1.2903598373667968e-07,-1.531837758039457e-07
141,12182400,1.2635136351404152e-07,-1.553767447381513e-07
142,12268800,1.2362959919755059e-07,-1.5752217356796346e-07
143,12355200,1.2087154945760204e-07,-1.596194379180366e-07
144,12441600,1.1807808326825067e-07,-1.6166792949663738e-07
145,12528000,1.1525007958675423e-07,-1.636670562577636e-07
146,12614400,1.1238842703090958e-07,-1.6561624255625516e-07
147,12700800,1.0949402355435456e-07,-1.675149292958831e-07
148,12787200,1.0656777612000674e-07,-1.6936257407040762e-07
149,12873600,1.0361060037180987e-07,-1.7115865129760077e-07
150,12960000,1.0062342030495731e-07,-1.7290265234623375e-07
151,13046400,9.760716793476096e-08,-1.7459408565603366e-07
152,13132800,9.456278296433218e-08,-1.7623247685061938e-07
153,13219200,9.149121245124052e-08,-1.7781736884342974e-07
154,13305600,8.839341047331365e-08,-1.7934832193666235e-07
155,13392000,8.527033779374073e-08,-1.808249139132454e-07
156,13478400,8.212296152563906e-08,-1.8224674012186863e-07
157,13564800,7.895225479624254e-08,-1.8361341355510445e-07
158,13651200,7.575919641086757e-08,-1.8492456492065303e-07
159,13737600,7.25447705168105e-08,-1.8617984270575047e-07
160,13824000,6.930996626732807e-08,-1.8737891323478144e-07
161,13910400,6.605577748584979e-08,-1.885214607201427e-07
162,13996800,6.278320233056936e-08,-1.896071873064063e-07
163,14083200,5.949324295955846e-08,-1.906358131078355e-07
164,14169600,5.6186905196545106e-08,-1.9160707623930935e-07
165,14256000,5.286519819749443e-08,-1.9252073284071547e-07
166,14342400,4.952913411812826e-08,-1.933765570948728e-07
167,14428800,4.617972778251617e-08,-1.9417434123905053e-07
168,14515200,4.281799635286797e-08,-1.9491389557015057e-07
169,14601600,3.9444959000654674e-08,-1.9559504844362494e-07
170,14688000,3.606163657918188e-08,-1.9621764626620184e-07
171,14774400,3.2669051297736084e-08,-1.9678155348249568e-07
172,14860800,2.9268226397421963e-08,-1.9728665255558029e-07
173,14947200,2.586018582880464e-08,-1.9773284394160542e-07
174,15033600,2.2445953931468354e-08,-1.9812004605853968e-07
175,15120000,1.9026555115599357e-08,-1.9844819524912432e-07
176,15206400,1.560301354569767e-08,-1.9871724573812482e-07
177,15292800,1.2176352826518983e-08,-1.9892716958396847e-07
178,15379200,8.747595691344682e-09,-1.9907795662485833e-07
179,15465600,5.317763692674585e-09,-1.9916961441945437e-07
180,15552000,1.887876895433673e-09,-1.9920216818221602e-07
181,15638400,-1.5410464272193197e-09,-1.9917566071349873e-07
182,15724800,-4.967990095396905e-09,-1.9909015232450146e-07
183,15811200,-8.391940321220274e-09,-1.989457207571604e-07
184,15897600,-1.1811886004711361e-08,-1.987424610990869e-07
185,15984000,-1.522681902676503e-08,-1.9848048569364748e-07
186,16070400,-1.863573453913028e-08,-1.9815992404528477e-07
187,16156800,-2.2037631251332605e-08,-1.9778092272017901e-07
188,16243200,-2.5431511714472985e-08,-1.9734364524234966e-07
189,16329600,-2.8816382601842172e-08,-1.9684827198529791e-07
190,16416000,-3.219125498629231e-08,-1.9629500005929024e-07
191,16502400,-3.5555144614310906e-08,-1.9568404319438352e-07
192,16588800,-3.8907072176745596e-08,-1.9501563161929346e-07
193,16675200,-4.224606357613107e-08,-1.9429001193620578e-07
194,16761600,-4.5571150190572685e-08,-1.935074469916318e-07
195,16848000,-4.8881369134144404e-08,-1.9266821574340826e-07
196,16934400,-5.2175763513761585e-08,-1.9177261312394162e-07
197,17020800,-5.545338268249209e-08,-1.9082094989979663e-07
198,17107200,-5.871328248927227e-08,-1.8981355252772807e-07
199,17193600,-6.195452552499698e-08,-1.8875076300725458e-07
200,17280000,-6.517618136495572e-08,-1.876329387298725e-07
201,17366400,-6.837732680758973e-08,-1.8646045232500656e-07
202,17452800,-7.155704610954733e-08,-1.8523369150279465e-07
203,17539200,-7.471443121701787e-08,-1.839530588938015e-07
204,17625600,-7.78485819933267e-08,-1.8261897188575628e-07
205,17712000,-8.095860644277626e-08,-1.8123186245740766e-07
206,17798400,-8.404362093072101e-08,-1.7979217700958895e-07
207,17884800,-8.710275039986586e-08,-1.783003761935847e-07
208,17971200,-9.013512858278043e-08,-1.7675693473688894e-07
209,18057600,-9.313989821062353e-08,-1.7516234126644412e-07
210,18144000,-9.611621121807416e-08,-1.735170981294487e-07
211,18230400,-9.906322894446805e-08,-1.718217212118193e-07
212,18316800,-1.0198012233113996e-07,-1.7007673975439277e-07
213,18403200,-1.0486607211497448e-07,-1.6828269616695153e-07
214,18489600,-1.0772026901816975e-07,-1.6644014584015456e-07
215,18576000,-1.105419139342202e-07,-1.6454965695545435e-07
216,18662400,-1.1333021811012625e-07,-1.626118102930788e-07
217,18748800,-1.1608440332484049e-07,-1.6062719903815604e-07
218,18835200,-1.188037020639615e-07,-1.5859642858505745e-07
219,18921600,-1.214873576906878e-07,-1.5652011634003367e-07
220,19008000,-1.2413462461304606e-07,-1.543988915222159e-07
221,19094400,-1.2674476844740886e-07,-1.522333949630534e-07
222,19180800,-1.293170661783185e-07,-1.5002427890425688e-07
223,19267200,-1.318508063146349e-07,-1.477722067943149e-07
224,19353600,-1.3434528904202627e-07,-1.4547785308364932e-07
225,19440000,-1.3679982637182286e-07,-1.431419030184739e-07
226,19526400,-1.3921374228625426e-07,-1.4076505243341877e-07
227,19612800,-1.415863728800928e-07,-1.3834800754298077e-07
228,19699200,-1.4391706649872475e-07,-1.358914847318593e-07
229,19785600,-1.4620518387267394e-07,-1.333962103442344e-07
230,19872000,-1.4845009824860104e-07,-1.3086292047204294e-07
231,19958400,-1.506511955168036e-07,-1.282923607423062e-07
232,20044800,-1.5280787433524237e-07,-1.2568528610356122e-07
233,20131200,-1.5491954625011925e-07,-1.2304246061144608e-07
234,20217600,-1.569856358130336e-07,-1.203646572134876e-07
235,20304000,-1.5900558069474315e-07,-1.1765265753313849e-07
236,20390400,-1.609788317955566e-07,-1.1490725165310926e-07
237,20476800,-1.6290485335238504e-07,-1.121292378980381e-07
238,20563200,-1.6478312304247912e-07,-1.0931942261654099e-07
239,20649600,-1.6661313208388005e-07,-1.0647861996268207e-07
240,20736000,-1.683943853326111e-07,-1.0360765167690322e-07
241,20822400,-1.7012640137663786e-07,-1.0070734686644964e-07
242,20908800,-1.7180871262662366e-07,-9.777854178532721e-08
243,20995200,-1.734408654035085e-07,-9.482207961382552e-08
244,21081600,-1.7502242002293753e-07,-9.183881023763911e-08
245,21168000,-1.7655295087656672e-07,-8.882959002661819e-08
246,21254400,-1.7803204651027186e-07,-8.579528161317796e-08
247,21340800,-1.794593096992873e-07,-8.273675367039525e-08
248,21427200,-1.808343575203001e-07,-7.965488068981905e-08
249,21513600,-1.8215682142052538e-07,-7.655054275902043e-08
250,21600000,-1.8342634728378754e-07,-7.342462533890615e-08
251,21686400,-1.8464259549363188e-07,-7.027801904081876e-08
252,21772800,-1.8580524099349051e-07,-6.711161940344507e-08
253,21859200,-1.8691397334392604e-07,-6.392632666955333e-08
254,21945600,-1.8796849677697536e-07,-6.072304556257871e-08
255,22032000,-1.889685302476159e-07,-5.7502685063075074e-08
256,22118400,-1.8991380748237537e-07,-5.426615818505055e-08
257,22204800,-1.9080407702510561e-07,-5.1014381752203025e-08
258,22291200,-1.916391022799403e-07,-4.774827617407064e-08
259,22377600,-1.9241866155145562e-07,-4.4468765222111806e-08
260,22464000,-1.931425480820518e-07,-4.117677580572801e-08
261,22550400,-1.9381057008657274e-07,-3.7873237748242155e-08
262,22636800,-1.9442255078418064e-07,-3.455908356284405e-08
263,22723200,-1.9497832842749995e-07,-3.1235248228514316e-08
264,22809600,-1.954777563290466e-07,-2.7902668965936973e-08
265,22896000,-1.9592070288495475e-07,-2.456228501341044e-08
266,22982400,-1.9630705159601435e-07,-2.121503740276617e-08
267,23068800,-1.9663670108603106e-07,-1.7861868735303444e-08
268,23155200,-1.969095651175187e-07,-1.4503722957748522e-08
269,23241600,-1.9712557260473398e-07,-1.1141545138245751e-08
270,23328000,-1.9728466762406226e-07,-7.776281242387932e-09
271,23414400,-1.9738680942176107e-07,-4.408877909292944e-09
272,23500800,-1.9743197241906862e-07,-1.0402822277332018e-09
273,23587200,-1.9742014621468177e-07,2.3285584876755594e-09
274,23673600,-1.973513355846083e-07,5.696696920219976e-09
275,23760000,-1.9722556047939626e-07,9.063185974763098e-09
276,23846400,-1.9704285601874268e-07,1.2427079001340749e-08
277,23932800,-1.9680327248348222e-07,1.578743001867422e-08
278,24019200,-1.9650687530495632e-07,1.9143293937593262e-08
279,24105600,-1.961537450517607e-07,2.2493726784363257e-08
280,24192000,-1.9574397741387004e-07,2.583778592391039e-08
281,24278400,-1.9527768318413535e-07,2.917453028293833e-08
282,24364800,-1.947549882371505e-07,3.250302057292989e-08
283,24451200,-1.9417603350548196e-07,3.5822319513026635e-08
284,24537600,-1.935409749532554e-07,3.913149205277919e-08
285,24624000,-1.9284998354709138e-07,4.242960559476077e-08
286,24710400,-1.9210324522438188e-07,4.5715730217035554e-08
287,24796800,-1.9130096085889772e-07,4.898893889547363e-08
288,24883200,-1.9044334622371659e-07,5.224830772590324e-08
289,24969600,-1.8953063195146003e-07,5.549291614609071e-08
290,25056000,-1.885630634918266e-07,5.87218471575377e-08
291,25142400,-1.8754090106640835e-07,6.193418754708481e-08
292,25228800,-1.864644196207759e-07,6.512902810830985e-08
293,25315200,-1.8533390877381687e-07,6.830546386270814e-08
294,25401600,-1.841496727643119e-07,7.146259428064171e-08
295,25488000,-1.8291203039473098e-07,7.459952350204295e-08
296,25574400,-1.816213149722331e-07,7.771536055685783e-08
297,25660800,-1.8027787424684974e-07,8.080921958521254e-08
298,25747200,-1.788820703468342e-07,8.388022005728635e-08
299,25833600,-1.7743427971115595e-07,8.692748699287281e-08
300,25920000,-1.7593489301912026e-07,8.995015118060999e-08
301,26006400,-1.7438431511709139e-07,9.294734939685917e-08
302,26092800,-1.72782964942298e-07,9.591822462421106e-08
303,26179200,-1.711312754436985e-07,9.886192626959625e-08
304,26265600,-1.6942969349988348e-07,1.0177761038197634e-07
305,26352000,-1.676786798339921e-07,1.0466443986959036e-07
306,26438400,-1.6587870892561894e-07,1.0752158471673003e-07
307,26524800,-1.6403026891968732e-07,1.103482222000159e-07
308,26611200,-1.621338615322648e-07,1.1314353710414511e-07
309,26697600,-1.6019000195329636e-07,1.159067219370802e-07
310,26784000,-1.5819921874623065e-07,1.1863697714464677e-07
311,26870400,-1.5616205374451438e-07,1.213335113245064e-07
312,26956800,-1.5407906194492978e-07,1.2399554143946973e-07
313,27043200,-1.5195081139775032e-07,1.2662229303011328e-07
314,27129600,-1.4977788309368955e-07,1.2921300042666146e-07
